frequency;V(/Different_topology/VOUT) (phase);V(/Different_topology/VOUT) (gain);
1;-6.54152e-11;140.001;
1.02329;-6.69389e-11;140.001;
1.04713;-6.84981e-11;140.001;
1.07152;-7.00936e-11;140.001;
1.09648;-7.17263e-11;140.001;
1.12202;-7.3397e-11;140.001;
1.14815;-7.51067e-11;140.001;
1.1749;-7.68561e-11;140.001;
1.20226;-7.86463e-11;140.001;
1.23027;-8.04782e-11;140.001;
1.25893;-8.23528e-11;140.001;
1.28825;-8.42711e-11;140.001;
1.31826;-8.6234e-11;140.001;
1.34896;-8.82426e-11;140.001;
1.38038;-9.02981e-11;140.001;
1.41254;-9.24014e-11;140.001;
1.44544;-9.45537e-11;140.001;
1.47911;-9.67561e-11;140.001;
1.51356;-9.90099e-11;140.001;
1.54882;-1.01316e-10;140.001;
1.58489;-1.03676e-10;140.001;
1.62181;-1.06091e-10;140.001;
1.65959;-1.08562e-10;140.001;
1.69824;-1.11091e-10;140.001;
1.7378;-1.13679e-10;140.001;
1.77828;-1.16326e-10;140.001;
1.8197;-1.19036e-10;140.001;
1.86209;-1.21809e-10;140.001;
1.90546;-1.24646e-10;140.001;
1.94984;-1.27549e-10;140.001;
1.99526;-1.3052e-10;140.001;
2.04174;-1.33561e-10;140.001;
2.0893;-1.36672e-10;140.001;
2.13796;-1.39855e-10;140.001;
2.18776;-1.43113e-10;140.001;
2.23872;-1.46446e-10;140.001;
2.29087;-1.49857e-10;140.001;
2.34423;-1.53348e-10;140.001;
2.39883;-1.5692e-10;140.001;
2.45471;-1.60575e-10;140.001;
2.51189;-1.64315e-10;140.001;
2.5704;-1.68143e-10;140.001;
2.63027;-1.72059e-10;140.001;
2.69153;-1.76067e-10;140.001;
2.75423;-1.80168e-10;140.001;
2.81838;-1.84365e-10;140.001;
2.88403;-1.88659e-10;140.001;
2.95121;-1.93054e-10;140.001;
3.01995;-1.97551e-10;140.001;
3.0903;-2.02152e-10;140.001;
3.16228;-2.06861e-10;140.001;
3.23594;-2.11679e-10;140.001;
3.31131;-2.1661e-10;140.001;
3.38844;-2.21655e-10;140.001;
3.46737;-2.26818e-10;140.001;
3.54813;-2.32102e-10;140.001;
3.63078;-2.37508e-10;140.001;
3.71535;-2.4304e-10;140.001;
3.80189;-2.48702e-10;140.001;
3.89045;-2.54495e-10;140.001;
3.98107;-2.60422e-10;140.001;
4.0738;-2.66488e-10;140.001;
4.16869;-2.72696e-10;140.001;
4.2658;-2.79048e-10;140.001;
4.36516;-2.85548e-10;140.001;
4.46684;-2.92199e-10;140.001;
4.57088;-2.99005e-10;140.001;
4.67735;-3.0597e-10;140.001;
4.7863;-3.13097e-10;140.001;
4.89779;-3.2039e-10;140.001;
5.01187;-3.27852e-10;140.001;
5.12861;-3.35489e-10;140.001;
5.24807;-3.43304e-10;140.001;
5.37032;-3.513e-10;140.001;
5.49541;-3.59483e-10;140.001;
5.62341;-3.67856e-10;140.001;
5.7544;-3.76425e-10;140.001;
5.88844;-3.85193e-10;140.001;
6.0256;-3.94165e-10;140.001;
6.16595;-4.03347e-10;140.001;
6.30957;-4.12742e-10;140.001;
6.45654;-4.22356e-10;140.001;
6.60693;-4.32194e-10;140.001;
6.76083;-4.42261e-10;140.001;
6.91831;-4.52562e-10;140.001;
7.07946;-4.63104e-10;140.001;
7.24436;-4.73891e-10;140.001;
7.4131;-4.84929e-10;140.001;
7.58578;-4.96225e-10;140.001;
7.76247;-5.07783e-10;140.001;
7.94328;-5.19611e-10;140.001;
8.12831;-5.31714e-10;140.001;
8.31764;-5.441e-10;140.001;
8.51138;-5.56773e-10;140.001;
8.70964;-5.69742e-10;140.001;
8.91251;-5.83013e-10;140.001;
9.12011;-5.96593e-10;140.001;
9.33254;-6.1049e-10;140.001;
9.54993;-6.2471e-10;140.001;
9.77237;-6.39261e-10;140.001;
10;-6.54152e-10;140.001;
10.2329;-6.69389e-10;140.001;
10.4713;-6.84981e-10;140.001;
10.7152;-7.00936e-10;140.001;
10.9648;-7.17263e-10;140.001;
11.2202;-7.3397e-10;140.001;
11.4815;-7.51066e-10;140.001;
11.749;-7.68561e-10;140.001;
12.0226;-7.86463e-10;140.001;
12.3027;-8.04782e-10;140.001;
12.5893;-8.23528e-10;140.001;
12.8825;-8.4271e-10;140.001;
13.1826;-8.6234e-10;140.001;
13.4896;-8.82426e-10;140.001;
13.8038;-9.0298e-10;140.001;
14.1254;-9.24014e-10;140.001;
14.4544;-9.45537e-10;140.001;
14.7911;-9.67561e-10;140.001;
15.1356;-9.90098e-10;140.001;
15.4882;-1.01316e-09;140.001;
15.8489;-1.03676e-09;140.001;
16.2181;-1.06091e-09;140.001;
16.5959;-1.08562e-09;140.001;
16.9824;-1.11091e-09;140.001;
17.378;-1.13678e-09;140.001;
17.7828;-1.16326e-09;140.001;
18.197;-1.19036e-09;140.001;
18.6209;-1.21809e-09;140.001;
19.0546;-1.24646e-09;140.001;
19.4984;-1.27549e-09;140.001;
19.9526;-1.3052e-09;140.001;
20.4174;-1.33561e-09;140.001;
20.893;-1.36672e-09;140.001;
21.3796;-1.39855e-09;140.001;
21.8776;-1.43113e-09;140.001;
22.3872;-1.46446e-09;140.001;
22.9087;-1.49857e-09;140.001;
23.4423;-1.53348e-09;140.001;
23.9883;-1.5692e-09;140.001;
24.5471;-1.60575e-09;140.001;
25.1189;-1.64315e-09;140.001;
25.704;-1.68143e-09;140.001;
26.3027;-1.72059e-09;140.001;
26.9153;-1.76067e-09;140.001;
27.5423;-1.80168e-09;140.001;
28.1838;-1.84365e-09;140.001;
28.8403;-1.88659e-09;140.001;
29.5121;-1.93054e-09;140.001;
30.1995;-1.9755e-09;140.001;
30.903;-2.02152e-09;140.001;
31.6228;-2.06861e-09;140.001;
32.3594;-2.11679e-09;140.001;
33.1131;-2.1661e-09;140.001;
33.8844;-2.21655e-09;140.001;
34.6737;-2.26818e-09;140.001;
35.4813;-2.32101e-09;140.001;
36.3078;-2.37508e-09;140.001;
37.1535;-2.4304e-09;140.001;
38.0189;-2.48701e-09;140.001;
38.9045;-2.54494e-09;140.001;
39.8107;-2.60422e-09;140.001;
40.738;-2.66488e-09;140.001;
41.6869;-2.72695e-09;140.001;
42.658;-2.79047e-09;140.001;
43.6516;-2.85547e-09;140.001;
44.6684;-2.92198e-09;140.001;
45.7088;-2.99004e-09;140.001;
46.7735;-3.05969e-09;140.001;
47.863;-3.13096e-09;140.001;
48.9779;-3.20389e-09;140.001;
50.1187;-3.27851e-09;140.001;
51.2861;-3.35488e-09;140.001;
52.4807;-3.43302e-09;140.001;
53.7032;-3.51299e-09;140.001;
54.9541;-3.59482e-09;140.001;
56.2341;-3.67855e-09;140.001;
57.544;-3.76423e-09;140.001;
58.8844;-3.85191e-09;140.001;
60.256;-3.94163e-09;140.001;
61.6595;-4.03345e-09;140.001;
63.0957;-4.1274e-09;140.001;
64.5654;-4.22353e-09;140.001;
66.0693;-4.32191e-09;140.001;
67.6083;-4.42258e-09;140.001;
69.1831;-4.52559e-09;140.001;
70.7946;-4.63101e-09;140.001;
72.4436;-4.73888e-09;140.001;
74.131;-4.84926e-09;140.001;
75.8578;-4.96221e-09;140.001;
77.6247;-5.07779e-09;140.001;
79.4328;-5.19607e-09;140.001;
81.2831;-5.3171e-09;140.001;
83.1764;-5.44094e-09;140.001;
85.1138;-5.56768e-09;140.001;
87.0964;-5.69736e-09;140.001;
89.1251;-5.83007e-09;140.001;
91.2011;-5.96587e-09;140.001;
93.3254;-6.10483e-09;140.001;
95.4993;-6.24702e-09;140.001;
97.7237;-6.39253e-09;140.001;
100;-6.54143e-09;140.001;
102.329;-6.69379e-09;140.001;
104.713;-6.84971e-09;140.001;
107.152;-7.00925e-09;140.001;
109.648;-7.17251e-09;140.001;
112.202;-7.33958e-09;140.001;
114.815;-7.51053e-09;140.001;
117.49;-7.68547e-09;140.001;
120.226;-7.86448e-09;140.001;
123.027;-8.04766e-09;140.001;
125.893;-8.2351e-09;140.001;
128.825;-8.42691e-09;140.001;
131.826;-8.62319e-09;140.001;
134.896;-8.82404e-09;140.001;
138.038;-9.02957e-09;140.001;
141.254;-9.23988e-09;140.001;
144.544;-9.4551e-09;140.001;
147.911;-9.67532e-09;140.001;
151.356;-9.90067e-09;140.001;
154.882;-1.01313e-08;140.001;
158.489;-1.03672e-08;140.001;
162.181;-1.06087e-08;140.001;
165.959;-1.08558e-08;140.001;
169.824;-1.11086e-08;140.001;
173.78;-1.13674e-08;140.001;
177.828;-1.16321e-08;140.001;
181.97;-1.19031e-08;140.001;
186.209;-1.21803e-08;140.001;
190.546;-1.2464e-08;140.001;
194.984;-1.27543e-08;140.001;
199.526;-1.30513e-08;140.001;
204.174;-1.33553e-08;140.001;
208.93;-1.36663e-08;140.001;
213.796;-1.39846e-08;140.001;
218.776;-1.43103e-08;140.001;
223.872;-1.46436e-08;140.001;
229.087;-1.49847e-08;140.001;
234.423;-1.53337e-08;140.001;
239.883;-1.56908e-08;140.001;
245.471;-1.60562e-08;140.001;
251.189;-1.64301e-08;140.001;
257.04;-1.68128e-08;140.001;
263.027;-1.72043e-08;140.001;
269.153;-1.7605e-08;140.001;
275.423;-1.8015e-08;140.001;
281.838;-1.84345e-08;140.001;
288.403;-1.88638e-08;140.001;
295.121;-1.93031e-08;140.001;
301.995;-1.97526e-08;140.001;
309.03;-2.02126e-08;140.001;
316.228;-2.06832e-08;140.001;
323.594;-2.11649e-08;140.001;
331.131;-2.16577e-08;140.001;
338.844;-2.2162e-08;140.001;
346.737;-2.26781e-08;140.001;
354.813;-2.32062e-08;140.001;
363.078;-2.37465e-08;140.001;
371.535;-2.42994e-08;140.001;
380.189;-2.48652e-08;140.001;
389.045;-2.54441e-08;140.001;
398.107;-2.60366e-08;140.001;
407.38;-2.66428e-08;140.001;
416.869;-2.72631e-08;140.001;
426.58;-2.78978e-08;140.001;
436.516;-2.85473e-08;140.001;
446.684;-2.92119e-08;140.001;
457.088;-2.98919e-08;140.001;
467.735;-3.05878e-08;140.001;
478.63;-3.12998e-08;140.001;
489.779;-3.20284e-08;140.001;
501.187;-3.27739e-08;140.001;
512.861;-3.35368e-08;140.001;
524.807;-3.43173e-08;140.001;
537.032;-3.51161e-08;140.001;
549.541;-3.59334e-08;140.001;
562.341;-3.67696e-08;140.001;
575.44;-3.76253e-08;140.001;
588.844;-3.85009e-08;140.001;
602.56;-3.93968e-08;140.001;
616.595;-4.03136e-08;140.001;
630.957;-4.12516e-08;140.001;
645.654;-4.22113e-08;140.001;
660.693;-4.31934e-08;140.001;
676.083;-4.41982e-08;140.001;
691.831;-4.52264e-08;140.001;
707.946;-4.62784e-08;140.001;
724.436;-4.73549e-08;140.001;
741.31;-4.84562e-08;140.001;
758.578;-4.95832e-08;140.001;
776.247;-5.07362e-08;140.001;
794.328;-5.1916e-08;140.001;
812.831;-5.31231e-08;140.001;
831.764;-5.43581e-08;140.001;
851.138;-5.56218e-08;140.001;
870.964;-5.69147e-08;140.001;
891.251;-5.82376e-08;140.001;
912.011;-5.9591e-08;140.001;
933.254;-6.09758e-08;140.001;
954.993;-6.23926e-08;140.001;
977.237;-6.38421e-08;140.001;
1000;-6.53251e-08;140.001;
1023.29;-6.68424e-08;140.001;
1047.13;-6.83947e-08;140.001;
1071.52;-6.99828e-08;140.001;
1096.48;-7.16076e-08;140.001;
1122.02;-7.32698e-08;140.001;
1148.15;-7.49703e-08;140.001;
1174.9;-7.671e-08;140.001;
1202.26;-7.84898e-08;140.001;
1230.27;-8.03105e-08;140.001;
1258.93;-8.21731e-08;140.001;
1288.25;-8.40785e-08;140.001;
1318.26;-8.60276e-08;140.001;
1348.96;-8.80215e-08;140.001;
1380.38;-9.00612e-08;140.001;
1412.54;-9.21475e-08;140.001;
1445.44;-9.42817e-08;140.001;
1479.11;-9.64647e-08;140.001;
1513.56;-9.86975e-08;140.001;
1548.82;-1.00981e-07;140.001;
1584.89;-1.03317e-07;140.001;
1621.81;-1.05707e-07;140.001;
1659.59;-1.0815e-07;140.001;
1698.24;-1.1065e-07;140.001;
1737.8;-1.13206e-07;140.001;
1778.28;-1.1582e-07;140.001;
1819.7;-1.18493e-07;140.001;
1862.09;-1.21227e-07;140.001;
1905.46;-1.24023e-07;140.001;
1949.84;-1.26882e-07;140.001;
1995.26;-1.29805e-07;140.001;
2041.74;-1.32794e-07;140.001;
2089.3;-1.3585e-07;140.001;
2137.96;-1.38975e-07;140.001;
2187.76;-1.4217e-07;140.001;
2238.72;-1.45436e-07;140.001;
2290.87;-1.48775e-07;140.001;
2344.23;-1.52188e-07;140.001;
2398.83;-1.55677e-07;140.001;
2454.71;-1.59243e-07;140.001;
2511.89;-1.62888e-07;140.001;
2570.4;-1.66613e-07;140.001;
2630.27;-1.7042e-07;140.001;
2691.53;-1.74311e-07;140.001;
2754.23;-1.78286e-07;140.001;
2818.38;-1.82349e-07;140.001;
2884.03;-1.86499e-07;140.001;
2951.21;-1.90739e-07;140.001;
3019.95;-1.9507e-07;140.001;
3090.3;-1.99494e-07;140.001;
3162.28;-2.04013e-07;140.001;
3235.94;-2.08627e-07;140.001;
3311.31;-2.1334e-07;140.001;
3388.44;-2.18151e-07;140.001;
3467.37;-2.23064e-07;140.001;
3548.13;-2.28078e-07;140.001;
3630.78;-2.33197e-07;140.001;
3715.35;-2.38421e-07;140.001;
3801.89;-2.43752e-07;140.001;
3890.45;-2.49191e-07;140.001;
3981.07;-2.54739e-07;140.001;
4073.8;-2.60399e-07;140.001;
4168.69;-2.66171e-07;140.001;
4265.8;-2.72056e-07;140.001;
4365.16;-2.78056e-07;140.001;
4466.84;-2.84171e-07;140.001;
4570.88;-2.90403e-07;140.001;
4677.35;-2.96753e-07;140.001;
4786.3;-3.0322e-07;140.001;
4897.79;-3.09807e-07;140.001;
5011.87;-3.16513e-07;140.001;
5128.61;-3.23339e-07;140.001;
5248.07;-3.30284e-07;140.001;
5370.32;-3.3735e-07;140.001;
5495.41;-3.44535e-07;140.001;
5623.41;-3.51839e-07;140.001;
5754.4;-3.59262e-07;140.001;
5888.44;-3.66803e-07;140.001;
6025.6;-3.7446e-07;140.001;
6165.95;-3.82231e-07;140.001;
6309.57;-3.90116e-07;140.001;
6456.54;-3.98112e-07;140.001;
6606.93;-4.06216e-07;140.001;
6760.83;-4.14426e-07;140.001;
6918.31;-4.22736e-07;140.001;
7079.46;-4.31145e-07;140.001;
7244.36;-4.39646e-07;140.001;
7413.1;-4.48235e-07;140.001;
7585.78;-4.56907e-07;140.001;
7762.47;-4.65653e-07;140.001;
7943.28;-4.74468e-07;140.001;
8128.31;-4.83342e-07;140.001;
8317.64;-4.92268e-07;140.001;
8511.38;-5.01235e-07;140.001;
8709.64;-5.10232e-07;140.001;
8912.51;-5.19247e-07;140.001;
9120.11;-5.28266e-07;140.001;
9332.54;-5.37276e-07;140.001;
9549.93;-5.4626e-07;140.001;
9772.37;-5.552e-07;140.001;
10000;-5.64079e-07;140.001;
10232.9;-5.72874e-07;140.001;
10471.3;-5.81563e-07;140.001;
10715.2;-5.90122e-07;140.001;
10964.8;-5.98524e-07;140.001;
11220.2;-6.06739e-07;140.001;
11481.5;-6.14736e-07;140.001;
11749;-6.2248e-07;140.001;
12022.6;-6.29935e-07;140.001;
12302.7;-6.37059e-07;140.001;
12589.3;-6.43809e-07;140.001;
12882.5;-6.50138e-07;140.001;
13182.6;-6.55995e-07;140.001;
13489.6;-6.61324e-07;140.001;
13803.8;-6.66065e-07;140.001;
14125.4;-6.70154e-07;140.001;
14454.4;-6.73521e-07;140.001;
14791.1;-6.76091e-07;140.001;
15135.6;-6.77783e-07;140.001;
15488.2;-6.78508e-07;140.001;
15848.9;-6.78174e-07;140.001;
16218.1;-6.76677e-07;140.001;
16595.9;-6.73909e-07;140.001;
16982.4;-6.69751e-07;140.001;
17378;-6.64076e-07;140.001;
17782.8;-6.56747e-07;140.001;
18197;-6.47617e-07;140.001;
18620.9;-6.36528e-07;140.001;
19054.6;-6.23308e-07;140.001;
19498.4;-6.07774e-07;140.001;
19952.6;-5.8973e-07;140.001;
20417.4;-5.68961e-07;140.001;
20893;-5.45242e-07;140.001;
21379.6;-5.18325e-07;140.001;
21877.6;-4.87949e-07;140.001;
22387.2;-4.53828e-07;140.001;
22908.7;-4.1566e-07;140.001;
23442.3;-3.73117e-07;140.001;
23988.3;-3.25848e-07;140.001;
24547.1;-2.73476e-07;140.001;
25118.9;-2.15595e-07;140.001;
25704;-1.51771e-07;140.001;
26302.7;-8.15366e-08;140.001;
26915.3;-4.39012e-09;140.001;
27542.3;8.02066e-08;140.001;
28183.8;1.72832e-07;140.001;
28840.3;2.74105e-07;140.001;
29512.1;3.84692e-07;140.001;
30199.5;5.05308e-07;140.001;
30903;6.36718e-07;140.001;
31622.8;7.79746e-07;140.001;
32359.4;9.35275e-07;140.001;
33113.1;1.10425e-06;140.001;
33884.4;1.28769e-06;140.001;
34673.7;1.48668e-06;140.001;
35481.3;1.70239e-06;140.001;
36307.8;1.93608e-06;140.001;
37153.5;2.18909e-06;140.001;
38018.9;2.46286e-06;140.001;
38904.5;2.75894e-06;140.001;
39810.7;3.07899e-06;140.001;
40738;3.42479e-06;140.001;
41686.9;3.79825e-06;140.001;
42658;4.20141e-06;140.001;
43651.6;4.63646e-06;140.001;
44668.4;5.10577e-06;140.001;
45708.8;5.61185e-06;140.001;
46773.5;6.1574e-06;140.001;
47863;6.74533e-06;140.001;
48977.9;7.37875e-06;140.001;
50118.7;8.06098e-06;140.001;
51286.1;8.79561e-06;140.001;
52480.7;9.58646e-06;140.001;
53703.2;1.04376e-05;140.001;
54954.1;1.13536e-05;140.001;
56234.1;1.23389e-05;140.001;
57544;1.33988e-05;140.001;
58884.4;1.45386e-05;140.001;
60256;1.57642e-05;140.001;
61659.5;1.70817e-05;140.001;
63095.7;1.84979e-05;140.001;
64565.4;2.00199e-05;140.001;
66069.3;2.16554e-05;140.001;
67608.3;2.34126e-05;140.001;
69183.1;2.53003e-05;140.001;
70794.6;2.7328e-05;140.001;
72443.6;2.95059e-05;140.001;
74131;3.18446e-05;140.001;
75857.8;3.4356e-05;140.001;
77624.7;3.70524e-05;140.001;
79432.8;3.99473e-05;140.001;
81283.1;4.30549e-05;140.001;
83176.4;4.63906e-05;140.001;
85113.8;4.99708e-05;140.001;
87096.4;5.38132e-05;140.001;
89125.1;5.79366e-05;140.001;
91201.1;6.23614e-05;140.001;
93325.4;6.71091e-05;140.001;
95499.3;7.22032e-05;140.001;
97723.7;7.76683e-05;140.001;
100000;8.35314e-05;140.001;
102329;8.9821e-05;140.001;
104713;9.65678e-05;140.001;
107152;0.000103805;140.001;
109648;0.000111567;140.001;
112202;0.000119892;140.001;
114815;0.00012882;140.001;
117490;0.000138396;140.001;
120226;0.000148664;140.001;
123027;0.000159676;140.001;
125893;0.000171484;140.001;
128825;0.000184145;140.001;
131826;0.000197722;140.001;
134896;0.000212279;140.001;
138038;0.000227886;140.001;
141254;0.00024462;140.001;
144544;0.000262561;140.001;
147911;0.000281795;140.001;
151356;0.000302415;140.001;
154882;0.000324521;140.001;
158489;0.000348219;140.001;
162181;0.000373624;140.001;
165959;0.000400857;140.001;
169824;0.000430049;140.001;
173780;0.000461342;140.001;
177828;0.000494885;140.001;
181970;0.00053084;140.001;
186209;0.000569379;140.001;
190546;0.000610688;140.001;
194984;0.000654966;140.001;
199526;0.000702423;140.001;
204174;0.00075329;140.001;
208930;0.000807809;140.001;
213796;0.000866242;140.001;
218776;0.000928869;140.001;
223872;0.000995992;140.001;
229087;0.00106793;140.001;
234423;0.00114503;140.001;
239883;0.00122766;140.001;
245471;0.00131622;140.001;
251189;0.00141113;140.001;
257040;0.00151285;140.001;
263027;0.00162186;140.001;
269153;0.00173868;140.001;
275423;0.00186388;140.001;
281838;0.00199805;140.001;
288403;0.00214184;140.001;
295121;0.00229593;140.001;
301995;0.00246107;140.001;
309030;0.00263803;140.001;
316228;0.00282768;140.001;
323594;0.00303091;140.001;
331131;0.0032487;140.001;
338844;0.00348209;140.001;
346737;0.0037322;140.001;
354813;0.00400022;140.001;
363078;0.00428743;140.001;
371535;0.00459521;140.001;
380189;0.00492503;140.001;
389045;0.00527846;140.001;
398107;0.0056572;140.001;
407380;0.00606306;140.001;
416869;0.00649797;140.001;
426580;0.00696402;140.001;
436516;0.00746343;140.001;
446684;0.00799859;140.001;
457088;0.00857206;140.001;
467735;0.00918657;140.001;
478630;0.00984506;140.001;
489779;0.0105507;140.001;
501187;0.0113068;140.001;
512861;0.0121171;140.001;
524807;0.0129853;140.001;
537032;0.0139156;140.001;
549541;0.0149126;140.001;
562341;0.0159809;140.001;
575440;0.0171256;140.001;
588844;0.0183522;140.001;
602560;0.0196666;140.001;
616595;0.0210751;140.001;
630957;0.0225843;140.001;
645654;0.0242016;140.001;
660693;0.0259345;140.001;
676083;0.0277914;140.001;
691831;0.0297812;140.001;
707946;0.0319133;140.001;
724436;0.034198;140.001;
741310;0.0366462;140.001;
758578;0.0392694;140.001;
776247;0.0420804;140.001;
794328;0.0450925;140.001;
812831;0.04832;140.001;
831764;0.0517785;140.001;
851138;0.0554843;140.001;
870964;0.0594553;140.001;
891251;0.0637103;140.001;
912011;0.0682698;140.001;
933254;0.0731554;140.001;
